read_chrom	mate_chrom	chromchrom	strand	properpair	failsqc	suppl	dupl	primary	Count
chr1	chr18	chr1/chr18	.	.	.	OK	OK	PRIMARY	5473
chr1	chr1	=	+-	PROPERPAIR	.	OK	OK	PRIMARY	63107718
chr1	chr2	chr1/chr2	.	.	.	OK	OK	PRIMARY	41498
chr1	chr4	chr1/chr4	.	.	.	OK	OK	PRIMARY	13983
chr1	hs37d5	chr1/hs37d5	.	.	.	OK	OK	PRIMARY	24245
chr1	chr12	chr1/chr12	.	.	.	OK	OK	PRIMARY	11132
chr1	chrX	chr1/chrX	.	.	.	OK	OK	PRIMARY	11762
chr1	chr17	chr1/chr17	.	.	.	OK	OK	PRIMARY	7737
chr1	chr9	chr1/chr9	.	.	.	OK	OK	PRIMARY	9031
chr1	chr5	chr1/chr5	.	.	.	OK	OK	PRIMARY	12809
chr1	chr9	chr1/chr9	.	.	.	OK	OK	SECONDARY	4094
chr1	chr3	chr1/chr3	.	.	.	OK	OK	PRIMARY	14438
chr1	chr16	chr1/chr16	.	.	.	OK	OK	PRIMARY	7548
chr1	chr1	=	--	.	.	OK	OK	PRIMARY	8802
chr1	GL000227.1	GL000227.1/chr1	.	.	.	OK	OK	PRIMARY	24
chr1	chr1	=	++	.	.	OK	OK	PRIMARY	8108
chr1	chr21	chr1/chr21	.	.	.	OK	OK	PRIMARY	3473
chr1	chr7	chr1/chr7	.	.	.	OK	OK	PRIMARY	12534
chr1	chr8	chr1/chr8	.	.	.	OK	OK	PRIMARY	10566
chr1	chr1	=	+-	NO	.	OK	OK	PRIMARY	42348
chr1	chr11	chr1/chr11	.	.	.	OK	OK	PRIMARY	9836
chr1	chr15	chr1/chr15	.	.	.	OK	OK	PRIMARY	6798
chr1	chr10	chr1/chr10	.	.	.	OK	OK	PRIMARY	10064
chr1	chr20	chr1/chr20	.	.	.	OK	OK	PRIMARY	4626
chr1	chr4	chr1/chr4	.	.	.	OK	OK	SECONDARY	5778
chr1	chr7	chr1/chr7	.	.	.	OK	OK	SECONDARY	5478
.	chr1	.	.	.	.	.	.	.	106616
chr1	chrX	chr1/chrX	.	.	.	OK	OK	SECONDARY	4713
chr1	chr1	=	+-	NO	.	OK	OK	SECONDARY	17335
chr1	chr5	chr1/chr5	.	.	.	OK	OK	SECONDARY	5426
chr1	hs37d5	chr1/hs37d5	.	.	.	OK	OK	SECONDARY	10528
chr1	chr1	=	--	.	.	OK	OK	SECONDARY	3059
chr1	chr21	chr1/chr21	.	.	.	OK	OK	SECONDARY	1610
chr1	GL000227.1	GL000227.1/chr1	.	.	.	OK	OK	SECONDARY	8
chr1	chr17	chr1/chr17	.	.	.	OK	OK	SECONDARY	3563
chr1	chr15	chr1/chr15	.	.	.	OK	OK	SECONDARY	2936
chr1	chr2	chr1/chr2	.	.	.	OK	OK	SECONDARY	9256
chr1	chr12	chr1/chr12	.	.	.	OK	OK	SECONDARY	4630
chr1	chr19	chr1/chr19	.	.	.	OK	OK	PRIMARY	6528
chr1	chr18	chr1/chr18	.	.	.	OK	OK	SECONDARY	2276
chr1	chr1	=	++	.	.	OK	OK	SECONDARY	2960
chr1	chr16	chr1/chr16	.	.	.	OK	OK	SECONDARY	3412
chr1	chr11	chr1/chr11	.	.	.	OK	OK	SECONDARY	4283
chr1	chr19	chr1/chr19	.	.	.	OK	OK	SECONDARY	3209
chr1	.	.	.	.	.	OK	OK	SECONDARY	925
chr1	.	.	.	.	.	OK	OK	PRIMARY	79527
chr1	GL000237.1	GL000237.1/chr1	.	.	.	OK	OK	SECONDARY	20
chr1	chr14	chr1/chr14	.	.	.	OK	OK	PRIMARY	7041
chr1	chr3	chr1/chr3	.	.	.	OK	OK	SECONDARY	5895
chr1	GL000220.1	GL000220.1/chr1	.	.	.	OK	OK	SECONDARY	4625
chr1	GL000224.1	GL000224.1/chr1	.	.	.	OK	OK	SECONDARY	44
chr1	chr13	chr1/chr13	.	.	.	OK	OK	PRIMARY	6917
chr1	chr6	chr1/chr6	.	.	.	OK	OK	SECONDARY	5305
chr1	chr8	chr1/chr8	.	.	.	OK	OK	SECONDARY	4455
chr1	GL000223.1	GL000223.1/chr1	.	.	.	OK	OK	SECONDARY	7
chr1	chr6	chr1/chr6	.	.	.	OK	OK	PRIMARY	12686
chr1	chr22	chr1/chr22	.	.	.	OK	OK	SECONDARY	1587
chr1	chr1	=	+-	PROPERPAIR	.	OK	OK	SECONDARY	12933
